Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:51:37,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,7.3712463,6.922989,3.0018005
2020/01/28 - 17:51:38,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,5.09964,5.611923,4.1744843
2020/01/28 - 17:51:38,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,3.744751,8.00589,-0.081207275
2020/01/28 - 17:51:38,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,-0.51190186,9.787643,4.3966675
2020/01/28 - 17:51:38,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,-1.6560822,7.064728,6.3735657
2020/01/28 - 17:51:38,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.4850464,3.5919342,11.2733
2020/01/28 - 17:51:39,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,-0.84062195,3.7726898,9.194168
2020/01/28 - 17:51:39,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,-0.51908875,3.7284088,8.973663
2020/01/28 - 17:51:39,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,-0.39674377,4.42511,8.723709
2020/01/28 - 17:51:39,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.57099915,3.9493866,8.614059
2020/01/28 - 17:51:39,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,1.0828857,4.9412994,8.512054
2020/01/28 - 17:51:40,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.8140106,5.0600586,7.8280334
2020/01/28 - 17:51:40,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,1.1001129,5.212799,8.418686
2020/01/28 - 17:51:40,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.36605835,5.465637,7.7449646
2020/01/28 - 17:51:40,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.42352295,5.6540527,7.6630707
2020/01/28 - 17:51:40,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.5159302,6.0888367,8.264023
2020/01/28 - 17:51:41,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.50779724,6.6179657,8.168259
2020/01/28 - 17:51:41,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.62797546,6.453003,6.518402
2020/01/28 - 17:51:41,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.5973358,7.282593,5.844925
2020/01/28 - 17:51:41,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.26741028,7.1138,4.5221252
2020/01/28 - 17:51:41,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.18051147,8.193344,5.1015167
2020/01/28 - 17:51:42,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.24850464,8.087524,5.2897034
2020/01/28 - 17:51:42,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.07324219,7.979782,5.39386
2020/01/28 - 17:51:42,60.35965474,25.07362688,0.0,35.5767822265625,0.0,23.584,0.10772705,7.9024506,5.5655212
